Epoch 52: Loss_1 3.386984357692925, Loss_2 0.8996115702713652
Epoch 53: Loss_1 3.388542627466136, Loss_2 0.8749124842324281
Epoch 54: Loss_1 3.3841997484855466, Loss_2 0.8461640964587921
Epoch 55: Loss_1 3.382616990892758, Loss_2 0.840945883631119
Epoch 55: ADE 0.40793776512145996, ACC 90.5296912495989
Epoch 56: Loss_1 3.378590123406772, Loss_2 0.8444689657594183
Epoch 57: Loss_1 3.381950581602275, Loss_2 0.8491377853994886
Epoch 58: Loss_1 3.381865231274384, Loss_2 0.826829684925784
Epoch 59: Loss_1 3.3758318623885732, Loss_2 0.8190905178708984
Epoch 60: Loss_1 3.377353763345427, Loss_2 0.7655480982634821
Epoch 60: ADE 0.4107360541820526, ACC 90.72529792558224
Epoch 61: Loss_1 3.378593194660882, Loss_2 0.7716903743779131
Epoch 62: Loss_1 3.37416541165319, Loss_2 0.7753545274875434
Epoch 63: Loss_1 3.370647962457441, Loss_2 0.7762756353528629
Epoch 64: Loss_1 3.3676858324135464, Loss_2 0.7498380085224001
Epoch 65: Loss_1 3.3716725316540948, Loss_2 0.7521755297489354
Epoch 65: ADE 0.41078776121139526, ACC 90.81293241441034
Epoch 66: Loss_1 3.3675021032981687, Loss_2 0.7415197488709624
Epoch 67: Loss_1 3.370215479376281, Loss_2 0.7506001841258533
Epoch 68: Loss_1 3.3687664793042713, Loss_2 0.7656581660209618
Epoch 69: Loss_1 3.366700801943323, Loss_2 0.7520828901840548
Epoch 70: Loss_1 3.36416061993303, Loss_2 0.7350846189877083
Epoch 70: ADE 0.40692704916000366, ACC 90.91456029723392
Epoch 71: Loss_1 3.362996168324513, Loss_2 0.7493626520845104
Epoch 72: Loss_1 3.3664493513811986, Loss_2 0.7287448220358693
Epoch 73: Loss_1 3.3656652760623125, Loss_2 0.7161446852343423
Epoch 74: Loss_1 3.3639476945247555, Loss_2 0.7188448104365118
Epoch 75: Loss_1 3.3614520709502873, Loss_2 0.7172336593050087
Epoch 75: ADE 0.4054138958454132, ACC 91.05260709858517
Epoch 76: Loss_1 3.357957285613262, Loss_2 0.7101530448850153
Epoch 77: Loss_1 3.356615735979503, Loss_2 0.7041860121517933
Epoch 78: Loss_1 3.354200093029755, Loss_2 0.7143218025491742
Epoch 79: Loss_1 3.3549302634347247, Loss_2 0.7128006660292301
Epoch 80: Loss_1 3.3500932014634457, Loss_2 0.6985971349213511
Epoch 80: ADE 0.4047852158546448, ACC 90.9926836700217
Epoch 81: Loss_1 3.3514238895453845, Loss_2 0.6938706775897829
Epoch 82: Loss_1 3.3522329295210063, Loss_2 0.6964336742321259
Epoch 83: Loss_1 3.350714917253391, Loss_2 0.7031047091695476
Epoch 84: Loss_1 3.3482009941721196, Loss_2 0.6989730718394218
Epoch 85: Loss_1 3.343782015034718, Loss_2 0.6983812363276928
Epoch 85: ADE 0.40647897124290466, ACC 91.04868664979796
Epoch 86: Loss_1 3.3443670495977544, Loss_2 0.697941717255879
Epoch 87: Loss_1 3.342269489917849, Loss_2 0.6837397125260584
Epoch 88: Loss_1 3.3409274305616106, Loss_2 0.6823702049372818
Epoch 89: Loss_1 3.3368296740677557, Loss_2 0.69895565274901
Epoch 90: Loss_1 3.3389335312866812, Loss_2 0.6854892358404076
Epoch 90: ADE 0.4059508144855499, ACC 90.97727477988158
Epoch 91: Loss_1 3.340587755729412, Loss_2 0.6721670034483735
Epoch 92: Loss_1 3.3374603534566947, Loss_2 0.6810444809239486
Epoch 93: Loss_1 3.3327065747359703, Loss_2 0.6953908100797626
Epoch 94: Loss_1 3.3331947772960944, Loss_2 0.6897654072404495
Epoch 95: Loss_1 3.3301143951603933, Loss_2 0.6738876866296007
Epoch 95: ADE 0.4069027602672577, ACC 91.04332453170208
Epoch 96: Loss_1 3.3291270944285274, Loss_2 0.6770353180727935
Epoch 97: Loss_1 3.329662069311283, Loss_2 0.6767913778427199
Epoch 98: Loss_1 3.3245640552689877, Loss_2 0.6769132148749722
Epoch 99: Loss_1 3.3280453458795405, Loss_2 0.6849628984928131
Epoch 100: Loss_1 3.3258726256234303, Loss_2 0.6725853890033778
Epoch 100: ADE 0.40725448727607727, ACC 90.98653585359557
Epoch 101: Loss_1 3.3253858935069567, Loss_2 0.6565627539392762
Epoch 102: Loss_1 3.3226666802843217, Loss_2 0.6623589839841345
Epoch 103: Loss_1 3.321797218228796, Loss_2 0.674195674105818
Epoch 104: Loss_1 3.3228225390899357, Loss_2 0.6871501029712226
Epoch 105: Loss_1 3.313869645442869, Loss_2 0.6789102112424785
Epoch 105: ADE 0.40517646074295044, ACC 91.06835750830588
Epoch 106: Loss_1 3.3189100491002277, Loss_2 0.6781430062402058
